type,sub_type,listPrice,sqft,stories,beds,baths,baths_full,baths_full_calc,garage,year_built
single_family,NA,2257000.0,2379.0,2.0,4.0,3.0,3.0,3.0,3.0,1977.0
mobile,NA,209000.0,1080.0,1.0,2.0,2.0,2.0,2.0,0.0,2021.0
mobile,NA,279000.0,1280.0,1.0,3.0,2.0,2.0,2.0,0.0,2025.0
single_family,NA,1100000.0,2409.0,1.0,4.0,3.0,1.0,3.0,3.0,1985.0
condos,condo,689000.0,740.0,2.0,1.0,2.0,1.0,1.0,0.0,2001.0
single_family,NA,249999.0,1214.0,1.0,2.0,2.0,2.0,2.0,1.0,2000.0
single_family,NA,999800.0,1993.0,2.0,3.0,2.0,2.0,2.0,0.0,1990.0
single_family,NA,542990.0,2084.0,2.0,3.0,3.0,2.0,2.0,2.0,2026.0
single_family,NA,749000.0,1610.0,1.0,3.0,2.0,2.0,2.0,3.0,1992.0
single_family,NA,850000.0,1578.0,1.0,2.0,2.0,2.0,2.0,2.0,1985.0
condos,condo,1650000.0,1565.0,1.0,2.0,2.0,2.0,2.0,1.0,1922.0
single_family,NA,3165000.0,4375.0,2.0,4.0,5.0,5.0,5.0,2.0,2004.0
single_family,NA,689000.0,1330.0,1.0,3.0,2.0,2.0,2.0,2.0,1989.0
single_family,NA,799765.0,3113.0,2.0,4.0,3.0,2.0,2.0,2.0,2004.0
mobile,NA,507000.0,2034.0,1.0,3.0,2.0,2.0,2.0,3.0,1987.0
single_family,NA,459000.0,1050.0,1.0,3.0,2.0,2.0,2.0,0.0,1926.0
land,NA,325000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
single_family,NA,2148000.0,2649.0,2.0,5.0,3.0,2.0,3.0,3.0,1987.0
land,NA,2199000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
single_family,NA,865000.0,2562.0,2.0,4.0,2.0,2.0,2.0,1.0,1897.0
single_family,NA,1020000.0,1120.0,1.0,3.0,2.0,2.0,2.0,2.0,1975.0
condos,condo,665000.0,1210.0,1.0,2.0,2.0,2.0,2.0,0.0,2007.0
single_family,NA,439000.0,1122.0,1.0,3.0,1.0,1.0,1.0,2.0,1959.0
single_family,NA,1350000.0,1891.0,1.0,3.0,2.0,2.0,2.0,2.0,1955.0
condos,condo,354900.0,1494.0,1.0,2.0,2.0,2.0,2.0,0.0,1979.0
single_family,NA,345000.0,1065.0,1.0,2.0,2.0,2.0,2.0,2.0,1990.0
single_family,NA,410000.0,1736.0,1.0,3.0,2.0,2.0,2.0,2.0,2002.0
single_family,NA,5785000.0,4621.0,2.0,5.0,6.0,5.0,5.0,3.0,2018.0
single_family,NA,1398888.0,2198.0,2.0,4.0,3.0,2.0,2.0,3.0,2005.0
single_family,NA,700000.0,2329.0,1.0,4.0,3.0,3.0,3.0,2.0,1990.0
single_family,NA,425000.0,1113.0,1.0,3.0,2.0,2.0,2.0,2.0,1980.0
single_family,NA,1100000.0,1452.0,1.0,2.0,1.0,1.0,1.0,2.0,1941.0
condos,condo,2895000.0,2180.0,1.0,3.0,3.0,2.0,2.0,2.0,1975.0
single_family,NA,1148000.0,1883.0,1.0,3.0,2.0,2.0,2.0,2.0,1952.0
single_family,NA,749000.0,2181.0,2.0,4.0,3.0,2.0,2.0,2.0,1979.0
single_family,NA,390000.0,1161.0,1.0,3.0,2.0,2.0,2.0,1.0,1955.0
single_family,NA,499000.0,1669.0,2.0,3.0,3.0,2.0,2.0,1.0,2007.0
single_family,NA,655000.0,1629.0,1.0,3.0,2.0,2.0,2.0,0.0,1989.0
single_family,NA,2800000.0,3589.0,2.0,5.0,3.0,3.0,3.0,2.0,1962.0
multi_family,NA,3295000.0,1950.0,1.0,3.0,3.0,1.0,2.0,2.0,1952.0
condos,condo,1250000.0,2254.0,2.0,4.0,3.0,2.0,3.0,2.0,2010.0
single_family,NA,1800000.0,2630.0,2.0,4.0,3.0,2.0,3.0,3.0,1994.0
single_family,NA,1695000.0,2712.0,2.0,5.0,3.0,3.0,3.0,3.0,1979.0
condos,condo,260000.0,958.0,1.0,2.0,2.0,2.0,2.0,0.0,2005.0
single_family,NA,835000.0,1251.0,1.0,3.0,2.0,2.0,2.0,2.0,1984.0
land,NA,129000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
condos,condo,1049000.0,1570.0,1.0,2.0,2.0,2.0,2.0,2.0,1975.0
single_family,NA,1175000.0,1719.0,1.0,4.0,2.0,1.0,2.0,2.0,1976.0
mobile,NA,279900.0,1900.0,1.0,2.0,2.0,2.0,2.0,2.0,1983.0
single_family,NA,825000.0,1776.0,1.0,3.0,2.0,2.0,2.0,2.0,1964.0
condos,condo,839999.0,1096.0,1.0,2.0,2.0,1.0,2.0,2.0,1991.0
mobile,NA,79990.0,1248.0,1.0,2.0,2.0,2.0,2.0,0.0,1974.0
condos,condo,408000.0,1728.0,3.0,2.0,2.0,2.0,2.0,2.0,2005.0
single_family,NA,1325000.0,1591.0,1.0,3.0,2.0,2.0,2.0,2.0,1948.0
single_family,NA,487500.0,1326.0,1.0,4.0,2.0,2.0,2.0,2.0,1971.0
land,NA,78500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
single_family,NA,590000.0,1285.0,1.0,4.0,2.0,2.0,2.0,2.0,1956.0
single_family,NA,1395000.0,1557.0,2.0,3.0,3.0,2.0,2.0,0.0,1921.0
single_family,NA,35000000.0,10789.0,3.0,6.0,7.0,6.0,6.0,6.0,1994.0
mobile,NA,149999.0,1152.0,1.0,3.0,2.0,2.0,2.0,0.0,1984.0
land,NA,14999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
single_family,NA,495000.0,1865.0,2.0,3.0,3.0,2.0,2.0,2.0,2004.0
condos,condo,1298000.0,1737.0,3.0,3.0,3.0,3.0,3.0,2.0,2020.0
single_family,NA,1949000.0,2383.0,2.0,3.0,3.0,2.0,2.0,2.0,1972.0
single_family,NA,370000.0,1364.0,1.0,3.0,2.0,1.0,1.0,0.0,1973.0
multi_family,NA,699000.0,1803.0,1.0,2.0,2.0,2.0,2.0,0.0,1953.0
single_family,NA,849900.0,2000.0,1.0,3.0,2.0,2.0,2.0,2.0,1948.0
single_family,NA,869000.0,2050.0,2.0,3.0,3.0,2.0,2.0,2.0,1981.0
single_family,NA,700000.0,2105.0,1.0,3.0,2.0,2.0,2.0,3.0,1997.0
multi_family,NA,2290000.0,3475.0,4.0,5.0,2.0,2.0,2.0,0.0,1902.0
single_family,NA,558170.0,2583.0,2.0,4.0,5.0,3.0,3.0,2.0,2026.0
single_family,NA,1715000.0,3800.0,2.0,5.0,5.0,4.0,4.0,3.0,2016.0
single_family,NA,10998000.0,3485.0,2.0,5.0,6.0,5.0,5.0,2.0,2011.0
single_family,NA,600000.0,1300.0,1.0,3.0,2.0,2.0,2.0,2.0,1973.0
